horizon,BXL,ANT,LIM,OVL,VlB,WVl,BWA,HAI,LIE,LUX,NAM
1990,,,,,,,,,,,
2000,2.7596139363390337,2.3663662222343174,1.9019679045136906,2.313270776369425,2.4439241747985507,2.895357898573847,2.665791728746436,1.1774766588643848,2.529224970425803,2.823804515027395,2.0467262446450585
2010,2.6146812506437467,3.420711918907049,3.6345352340107606,3.7479021080536246,3.624828416675463,2.7100528565531468,3.469653098181813,3.039760796447255,2.860207928709624,2.556315636933526,3.204452609788855
2020,-0.09344797573989094,1.643740399050686,1.6370224976638204,1.6297804449049158,1.690766716923764,1.7390499059339426,1.3528746457198926,0.3619704494954412,-0.05892600415863258,1.6227968556973504,1.5425213844338481
2030,4.181208691135829,3.418679533852198,3.5174871352326553,3.3303955142047093,3.442594518177655,3.5229255682900806,4.194229243875713,3.4749629792787395,4.491671653026974,3.3797451047862914,3.7490905835428245
2040,1.8682226879208397,2.3658676056295125,2.436735999707329,2.5460263137352612,2.53678002312121,2.559104234979137,2.580848909601885,1.8972690883573229,2.1147813066018095,2.490007407173067,2.4402482000936754
2050,1.7581362441374981,2.2813965203803743,2.3371727037887258,2.484629272012895,2.483605236983899,2.5345480003834187,2.5085076907928716,1.8654092364756014,2.0839161433482856,2.534192814651348,2.4181748125639224
2060,1.672156207287423,2.204657704833002,2.245812572574679,2.4227383104513445,2.4274370515432686,2.494917149420539,2.43552607196178,1.843595329552139,2.0665544177607353,2.5551211984728983,2.3990946053170426
2070,1.6025159710709058,2.127449247875557,2.1556084062589465,2.346898185862667,2.3517342462656687,2.4207974455949577,2.3458094013415254,1.8263634869349454,2.0516243207475915,2.522697020706244,2.363949959793543
