Horizon,BXL,ANT,LIM,OVL,VlB,WVl,BWA,HAI,LIE,LUX,NAM
1990,,,,,,,,,,,
2000,2.76,2.37,1.9,2.31,2.44,2.9,2.67,1.18,2.53,2.82,2.05
2010,2.61,3.42,3.63,3.75,3.62,2.71,3.47,3.04,2.86,2.56,3.2
2020,-0.09,1.64,1.64,1.63,1.69,1.74,1.35,0.36,-0.06,1.62,1.54
2030,4.18,3.42,3.52,3.33,3.44,3.52,4.19,3.47,4.49,3.38,3.75
2040,1.87,2.37,2.44,2.55,2.54,2.56,2.58,1.9,2.11,2.49,2.44
2050,1.76,2.28,2.34,2.48,2.48,2.53,2.51,1.87,2.08,2.53,2.42
2060,1.67,2.2,2.25,2.42,2.43,2.49,2.44,1.84,2.07,2.56,2.4
2070,1.6,2.13,2.16,2.35,2.35,2.42,2.35,1.83,2.05,2.52,2.36
