Horizon,IDF,CVL,BOU,FCO,BN,HN,NPC,PIC,ALS,CHA,LOR,PDL,BRE,AQU,LIM,POI,LR,MPY,AUV,RA,PACA,COR
1990,,,,,,,,,,,,,,,,,,,,,,
2000,3.3,2.08,2.19,3.12,2.81,2.56,2.8,2.82,3.97,2.54,2.36,2.48,3.36,3.01,2.8,2.21,2.03,2.77,2.44,3.0,2.88,3.03
2010,3.32,2.56,3.35,3.03,3.2,2.86,3.42,3.25,3.43,2.72,3.64,3.81,3.97,3.25,3.0,3.01,3.8,3.54,3.51,3.68,3.59,3.84
2020,0.44,1.87,1.05,0.11,1.32,1.27,2.11,0.8,0.86,0.92,0.69,1.85,2.31,2.28,2.21,1.7,1.43,1.69,1.79,0.91,1.22,3.61
2030,3.56,2.03,2.52,3.51,2.4,2.62,2.4,2.86,3.47,2.57,2.99,2.0,2.26,1.78,1.39,1.83,2.34,2.01,2.25,3.1,2.48,1.72
2040,2.33,2.14,2.17,2.39,2.35,2.28,2.45,2.18,2.57,2.06,2.24,2.46,2.89,2.51,2.18,2.26,2.4,2.41,2.42,2.49,2.35,2.85
2050,2.23,2.12,2.13,2.39,2.35,2.26,2.38,2.12,2.51,2.01,2.19,2.43,2.88,2.49,2.18,2.29,2.42,2.42,2.39,2.44,2.31,2.77
2060,2.13,2.1,2.09,2.37,2.33,2.23,2.31,2.07,2.45,1.97,2.14,2.38,2.81,2.44,2.17,2.28,2.4,2.4,2.35,2.37,2.26,2.65
2070,2.02,2.06,2.03,2.31,2.27,2.18,2.24,2.01,2.36,1.93,2.08,2.29,2.66,2.34,2.13,2.23,2.33,2.32,2.28,2.28,2.18,2.49
