nuts2,region,label,LL,LL parametric,LC parametric,LLp vs LL (%),LCp vs LL (%),LLp vs LCp (%)
FR10,Ile-de-France,IDF,2e-05,2e-05,4e-05,-22.63,100.55,-61.42
FRB0,Centre — Val de Loire,CVL,3e-05,3e-05,4e-05,-5.39,22.32,-22.65
FRC1,Bourgogne,BOU,4e-05,4e-05,4e-05,-3.68,15.05,-16.28
FRC2,Franche-Comté,FCO,4e-05,4e-05,4e-05,-4.5,5.96,-9.87
FRD1,Basse-Normandie,BN,4e-05,4e-05,5e-05,-7.64,12.56,-17.95
FRD2,Haute-Normandie,HN,4e-05,3e-05,6e-05,-5.04,80.2,-47.3
FRE1,Nord-Pas de Calais,NPC,3e-05,3e-05,0.00014,-11.1,364.55,-80.86
FRE2,Picardie,PIC,4e-05,3e-05,9e-05,-3.97,152.9,-62.03
FRF1,Alsace,ALS,4e-05,3e-05,6e-05,-9.66,53.0,-40.96
FRF2,Champagne-Ardenne,CHA,4e-05,4e-05,7e-05,-0.88,61.47,-38.62
FRF3,Lorraine,LOR,3e-05,3e-05,7e-05,-5.0,116.57,-56.13
FRG0,Pays de la Loire,PDL,3e-05,2e-05,4e-05,-5.68,49.25,-36.8
FRH0,Bretagne,BRE,3e-05,3e-05,5e-05,-9.21,48.25,-38.76
FRI1,Aquitaine,AQU,3e-05,3e-05,4e-05,-10.53,41.59,-36.81
FRI2,Limousin,LIM,6e-05,6e-05,6e-05,-1.03,6.13,-6.74
FRI3,Poitou-Charentes,POI,4e-05,3e-05,5e-05,-10.73,42.36,-37.29
FRJ1,Languedoc-Roussillon,LR,3e-05,3e-05,4e-05,-11.83,37.58,-35.92
FRJ2,Midi-Pyrénées,MPY,3e-05,3e-05,7e-05,-11.79,121.94,-60.26
FRK1,Auvergne,AUV,4e-05,4e-05,5e-05,-2.9,22.33,-20.62
FRK2,Rhône-Alpes,RA,2e-05,2e-05,5e-05,-9.83,122.46,-59.47
FRL0,Provence-Alpes-Côte d’Azur,PACA,2e-05,2e-05,4e-05,-8.79,69.77,-46.28
FRM0,Corse,COR,8e-05,8e-05,9e-05,-4.15,9.31,-12.32
